chapter_no,slug,status,attempts,last_error,completed_at,drive_folder_id,updated_at
001,the-earth-prays-for-krishna,done,0,,2026-06-21T11:57:53,1_7R1uj_WtW0CfuhfMAz_d3FSF1zsHbo-,2026-07-20T14:59:03
002,devaki-and-vasudeva-wedding,done,0,,2026-06-21T11:57:53,1pr9ZMwnzE8bx7mgreAguduQFDzc8XC0V,2026-06-21T11:57:53
003,vasudeva-keeps-his-word,done,5,,2026-07-19T22:42:22,1wXrCGATPxzDpafBbQ9e_y_A3g4JkwcSn,2026-07-19T22:42:22
004,narada-warns-kamsa,done,1,,2026-07-20T00:28:39,1ngcf6RZ2gxClVOt8_njKp-dorSEyaAs-,2026-07-20T00:28:39
005,prayers-by-the-demigods-for-lord-krishna-in-the-womb,done,1,,2026-07-20T10:58:31,1qqox6hHQzMR3HQU12TQv2xRb2IUlbXU3,2026-07-20T10:58:31
006,the-birth-of-lord-krishna,done,1,,2026-07-20T23:54:04,10SatVqh_Sf1sgn3wr0xFLKlVYSX6Wa15,2026-07-20T23:54:04
007,kamsa-begins-his-persecutions,done,7,,2026-07-22T14:57:28,12KjkBOc42AFvIlbUSFZHPZdCDUlZRW8v,2026-07-22T14:57:28
008,the-meeting-of-nanda-and-vasudeva,pending,0,,,,2026-07-22T14:57:23
009,baby-krishna-protects-gokula,pending,0,,,,2026-06-21T11:57:53
010,the-salvation-of-trinavarta,pending,0,,,,2026-06-21T11:57:53
011,vision-of-the-universal-form,pending,0,,,,2026-06-21T11:57:53
012,mother-yasoda-binds-lord-krishna,pending,0,,,,2026-06-21T11:57:53
013,the-deliverance-of-nalakuvara-and-manigriva,pending,0,,,,2026-06-21T11:57:53
014,krishna-protects-the-calves-from-vatsasura-and-bakasura,pending,0,,,,2026-06-21T12:09:10
015,krishna-protects-everyone-from-the-aghasura-demon,pending,0,,,,2026-06-21T11:57:53
016,the-stealing-of-the-boys-and-calves-by-brahma,pending,0,,,,2026-06-21T11:57:53
017,prayers-offered-by-lord-brahma-to-lord-krishna,pending,0,,,,2026-06-21T11:57:53
018,krishna-protects-everyone-from-dhenukasura,pending,0,,,,2026-06-21T11:57:53
019,subduing-kaliya,pending,0,,,,2026-06-21T11:57:53
020,extinguishing-the-forest-fire,pending,0,,,,2026-06-21T11:57:53
021,balarama-protects-his-friends-from-pralambasura,pending,0,,,,2026-06-21T12:09:10
022,devouring-the-forest-fire,pending,0,,,,2026-06-21T11:57:53
023,description-of-autumn,pending,0,,,,2026-06-21T11:57:53
024,the-gopis-attracted-by-the-flute,pending,0,,,,2026-06-21T11:57:53
025,stealing-the-garments-of-the-unmarried-gopi-girls,pending,0,,,,2026-06-21T11:57:53
026,delivering-the-wives-of-the-brahmanas-who-performed-sacrifices,pending,0,,,,2026-06-21T11:57:53
027,worshiping-govardhana-hill,pending,0,,,,2026-06-21T11:57:53
028,devastating-rainfall-in-vrindavana,pending,0,,,,2026-06-21T11:57:53
029,wonderful-krishna,pending,0,,,,2026-06-21T11:57:53
030,prayers-by-indra-the-king-of-heaven,pending,0,,,,2026-06-21T11:57:53
031,releasing-nanda-maharaja-from-the-clutches-of-varuna,pending,0,,,,2026-06-21T11:57:53
032,the-rasa-dance-introduction,pending,0,,,,2026-06-21T11:57:53
033,krishna-s-hiding-from-the-gopis,pending,0,,,,2026-06-21T11:57:53
034,songs-by-the-gopis,pending,0,,,,2026-06-21T11:57:53
035,krishna-returns-to-the-gopis,pending,0,,,,2026-06-21T11:57:53
036,description-of-the-rasa-dance,pending,0,,,,2026-06-21T11:57:53
037,vidyadhara-liberated-and-the-demon-sankhacuda-and-krishna-s-protection,pending,0,,,,2026-06-21T11:57:53
038,the-gopis-feelings-of-separation,pending,0,,,,2026-06-21T11:57:53
039,kamsa-sends-akrura-for-krishna,pending,0,,,,2026-06-21T11:57:53
040,krishna-protects-vrindavana-from-kesi-and-vyomasura,pending,0,,,,2026-06-21T12:09:10
041,akrura-s-arrival-in-vrindavana,pending,0,,,,2026-06-21T11:57:53
042,akrura-s-return-journey-and-his-vision-of-visnuloka-within-the-yamuna-,pending,0,,,,2026-06-21T11:57:53
043,prayers-by-akrura,pending,0,,,,2026-06-21T11:57:53
044,krishna-enters-mathura,pending,0,,,,2026-06-21T11:57:53
045,the-breaking-of-the-bow-in-the-sacrificial-arena,pending,0,,,,2026-06-21T11:57:53
046,krishna-protects-everyone-from-the-elephant-kuvalayapida,pending,0,,,,2026-06-21T11:57:53
047,krishna-protects-everyone-from-kamsa,pending,0,,,,2026-06-21T11:57:53
048,krishna-recovers-the-son-of-his-teacher,pending,0,,,,2026-06-21T11:57:53
049,uddhava-visits-vrindavana,pending,0,,,,2026-06-21T11:57:53
050,delivery-of-the-message-of-krishna-to-the-gopis,pending,0,,,,2026-06-21T11:57:53
051,krishna-pleases-his-devotees,pending,0,,,,2026-06-21T11:57:53
052,ill-motivated-dhrtarastra,pending,0,,,,2026-06-21T11:57:53
053,krishna-erects-the-dvaraka-fort,pending,0,,,,2026-06-21T11:57:53
054,the-deliverance-of-mucukunda,pending,0,,,,2026-06-21T11:57:53
055,krishna-the-ranacora,pending,0,,,,2026-06-21T11:57:53
056,krishna-kidnaps-rukmini,pending,0,,,,2026-06-21T11:57:53
057,krishna-defeats-all-the-princes-and-takes-rukmini-home-to-dvaraka,pending,0,,,,2026-06-21T11:57:53
058,pradyumna-born-to-krishna-and-rukmini,pending,0,,,,2026-06-21T11:57:53
059,the-story-of-the-syamantaka-jewel,pending,0,,,,2026-06-21T11:57:53
060,krishna-protects-everyone-from-satrajit-and-satadhanva,pending,0,,,,2026-06-21T11:57:53
061,five-queens-married-by-krishna,pending,0,,,,2026-06-21T11:57:53
062,the-deliverance-of-the-demon-bhaumasura,pending,0,,,,2026-06-21T11:57:53
063,talks-between-krishna-and-rukmini,pending,0,,,,2026-06-21T11:57:53
064,the-genealogy-of-the-family-of-krishna,pending,0,,,,2026-06-21T11:57:53
065,the-meeting-of-usa-and-aniruddha,pending,0,,,,2026-06-21T11:57:53
066,lord-krishna-fights-with-banasura,pending,0,,,,2026-06-21T11:57:53
067,the-story-of-king-nrga,pending,0,,,,2026-06-21T11:57:53
068,lord-balarama-visits-vrindavana,pending,0,,,,2026-06-21T11:57:53
069,the-deliverance-of-paundraka-and-the-king-of-kasi,pending,0,,,,2026-06-21T11:57:53
070,the-deliverance-of-dvivida-gorilla,pending,0,,,,2026-06-21T11:57:53
071,the-marriage-of-samba,pending,0,,,,2026-06-21T11:57:53
072,the-great-sage-narada-visits-the-different-homes-of-lord-krishna,pending,0,,,,2026-06-21T11:57:53
073,lord-krishna-s-daily-activities,pending,0,,,,2026-06-21T11:57:53
074,lord-krishna-in-indraprastha-city,pending,0,,,,2026-06-21T11:57:53
075,the-liberation-of-king-jarasandha,pending,0,,,,2026-06-21T11:57:53
076,lord-krishna-returns-to-the-city-of-hastinapura,pending,0,,,,2026-06-21T11:57:53
077,the-deliverance-of-sisupala,pending,0,,,,2026-06-21T11:57:53
078,why-duryodhana-felt-insulted-at-the-end-of-the-rajasuya-sacrifice,pending,0,,,,2026-06-21T11:57:53
079,the-battle-between-salva-and-members-of-the-yadu-dynasty,pending,0,,,,2026-06-21T11:57:53
080,the-deliverance-of-salva,pending,0,,,,2026-06-21T11:57:53
081,krishna-protects-everyone-from-dantavakra-viduratha-and-romaharsana,pending,0,,,,2026-06-21T11:57:53
082,the-liberation-of-balvala-and-lord-balarama-s-touring-the-sacred-place,pending,0,,,,2026-06-21T11:57:53
083,the-meeting-of-lord-krishna-with-sudama-brahmana,pending,0,,,,2026-06-21T11:57:53
084,the-brahmana-sudama-blessed-by-lord-krishna,pending,0,,,,2026-06-21T11:57:53
085,lord-krishna-and-balarama-meet-the-inhabitants-of-vrindavana,pending,0,,,,2026-06-21T11:57:53
086,draupadi-meets-the-queens-of-krishna,pending,0,,,,2026-06-21T11:57:53
087,sacrificial-ceremonies-performed-by-vasudeva,pending,0,,,,2026-06-21T11:57:53
088,spiritual-instruction-for-vasudeva-and-the-return-of-the-six-sons-of-d,pending,0,,,,2026-06-21T11:57:53
089,the-kidnapping-of-subhadra-and-lord-krishna-s-visiting-srutadeva-and-b,pending,0,,,,2026-06-21T11:57:53
090,prayers-by-the-personified-vedas,pending,0,,,,2026-06-21T11:57:53
091,the-deliverance-of-lord-siva,pending,0,,,,2026-06-21T11:57:53
092,the-superexcellent-power-of-krishna,pending,0,,,,2026-06-21T11:57:53
093,summary-description-of-lord-krishna-s-pastimes,pending,0,,,,2026-06-21T11:57:53
